Safari Shoes,SafariShoesArmorItem;BootsArmorItem;ArmorItem;Item;
Spiderite Crown,SpideriteCrownArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Beef Goulash,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Recipe Book,RecipeBookItem;Item;
Empress' Mask,EmpressMaskArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Runebound Shaman Spawn Item,MobSpawnItem;PlaceableItem;Item;
Oak Clock,ObjectItem;PlaceableItem;Item;
Copper Ore,MatItem;Item;
Deep Swamp Rock,ObjectItem;PlaceableItem;Item;
Ancient Fossil Axe,CustomAxeToolItem;AxeToolItem;ToolDamageItem;ToolItem;Item;
Animal Keeper Hat,AnimalKeeperHatArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Banana Sapling,ObjectItem;PlaceableItem;Item;
Snow Candle Pedestal,ObjectItem;PlaceableItem;Item;
Minecart Track,MinecartObjectItem;ObjectItem;PlaceableItem;Item;
Small Amethyst Cluster,ObjectItem;PlaceableItem;Item;
Topaz Gravel,TileItem;PlaceableItem;Item;
Swamp Stone Wall,ObjectItem;PlaceableItem;Item;
Battle Chef's Boots,BattleChefBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Greater Rapid Potion,GreaterRapidPotionItem;SimplePotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Eye in a Portal,PetFollowerPlaceableItem;FollowerSummonPlaceableItem;PlaceableItem;Item;
Meadow Meandering Vinyl,VinylItem;Item;
Gold Double Streetlamp,ObjectItem;PlaceableItem;Item;
+1 trinket slots,TestChangeTrinketSlotsItem;ConsumableItem;PlaceableItem;Item;
Skeleton Thrower Spawn Item,MobSpawnItem;PlaceableItem;Item;
Chieftain Pedestal,ObjectItem;PlaceableItem;Item;
Slime Boots,SlimeBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Deep Snow Stone Pressure Plate,ObjectItem;PlaceableItem;Item;
Arcanic Machinery,ObjectItem;PlaceableItem;Item;
Anchor & Chain,AnchorAndChainToolItem;BoomerangToolItem;ThrowToolItem;ProjectileToolItem;ToolItem;Item;
Willow Cabinet,ObjectItem;PlaceableItem;Item;
Companion Locket,SimpleTrinketItem;TrinketItem;Item;
Enchanted Crawling Zombie Spawn Item,MobSpawnItem;PlaceableItem;Item;
Void Caller,VoidWizardSpawnItem;ConsumableItem;PlaceableItem;Item;
Ancient Skeleton Mage Spawn Item,MobSpawnItem;PlaceableItem;Item;
Banana Tree,ObjectItem;PlaceableItem;Item;
Cookies,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Spider Cobble,TileItem;PlaceableItem;Item;
Ancient Ruin Door,ObjectItem;PlaceableItem;Item;
Sunflower,FlowerObjectItem;CustomObjectItem;ObjectItem;PlaceableItem;Item;
Spruce Log,MatItem;Item;
Frost Pickaxe,CustomPickaxeToolItem;PickaxeToolItem;ToolDamageItem;ToolItem;Item;
Frozen Heart,SimpleTrinketItem;TrinketItem;Item;
Ancient Vulture Egg Spawn Item,MobSpawnItem;PlaceableItem;Item;
Dusk Chestplate,DuskChestplateArmorItem;ChestArmorItem;ArmorItem;Item;
NOT_OBTAINABLE: Fishian Healer Staff,FishianHealerStaffToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Exotic Merchant Spawn Item,MobSpawnItem;PlaceableItem;Item;
Gators Lullaby Strings Vinyl,VinylItem;Item;
Runic Hood,RunicHoodArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Birch Toilet,ObjectItem;PlaceableItem;Item;
Homestone,HomestoneObjectItem;ObjectItem;PlaceableItem;Item;
Runebound Trapper Spawn Item,MobSpawnItem;PlaceableItem;Item;
Basalt Wall,ObjectItem;PlaceableItem;Item;
Traveler Cloak,SimpleTrinketItem;TrinketItem;Item;
Liquid Slime,TileItem;PlaceableItem;Item;
Raspberry,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Large Ship Painting,ObjectItem;PlaceableItem;Item;
Christmas Hat,ChristmasHatArmorItem;HelmetArmorItem;ArmorItem;Item;
Fire Chalice,ObjectItem;PlaceableItem;Item;
Emerald Wand,EmeraldWandProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Snow Pile 1,ObjectItem;PlaceableItem;Item;
Bone Offering,BoneOfferingItem;Item;
Mosquito Egg Spawn Item,MobSpawnItem;PlaceableItem;Item;
Dungeon Toilet,ObjectItem;PlaceableItem;Item;
Ivy Greatsword,IvyGreatswordToolItem;GreatswordToolItem;SwordToolItem;ToolItem;Item;
Copper Pitchfork,CopperPitchforkToolItem;SpearToolItem;ToolItem;Item;
Mouse Spawn Item,MobSpawnItem;PlaceableItem;Item;
Lab Boots,LabBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Swamp Stone,StonePlaceableItem;PlaceableItem;Item;
Wall Window,ObjectItem;PlaceableItem;Item;
Crystal Boots,CrystalBoots;BootsArmorItem;ArmorItem;Item;
Wall Window (Snow Stone Wall),ObjectItem;PlaceableItem;Item;
Sink,ObjectItem;PlaceableItem;Item;
Ravenbeak Spear,RavenBeakSpearToolItem;SpearToolItem;ToolItem;Item;
Coconut,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Palm Floor,TileItem;PlaceableItem;Item;
Alchemy Shard,MatItem;Item;
Dryad Log,MatItem;Item;
Overgrown Grass Seeds,GrassSeedItem;PlaceableItem;Item;
Single Spider Rock,ObjectItem;PlaceableItem;Item;
Ancient Relics,SimpleTrinketItem;TrinketItem;Item;
Dungeon Bookshelf,ObjectItem;PlaceableItem;Item;
Granite Brick Floor,TileItem;PlaceableItem;Item;
Ancient Fossil Boots,AncientFossilBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Tile Bomb,TileBombToolItem;SettlerIgnoredThrowToolItem;ThrowToolItem;ProjectileToolItem;ToolItem;Item;
Willow Modular Table,ObjectItem;PlaceableItem;Item;
Deadwood Bookshelf,ObjectItem;PlaceableItem;Item;
Wall Window (Spider Castle Wall),ObjectItem;PlaceableItem;Item;
Honey Bee Spawn Item,MobSpawnItem;PlaceableItem;Item;
Mesmer Tablet,SimpleTrinketItem;TrinketItem;Item;
Spiderite Ore,MatItem;Item;
Bone Bookshelf,ObjectItem;PlaceableItem;Item;
Trapper Hat,TrapperHatArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Crystal Upgrade Shard,ObjectItem;PlaceableItem;Item;
Plague Boots,PlagueBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Workstation,ObjectItem;PlaceableItem;Item;
Oak Tree,ObjectItem;PlaceableItem;Item;
Firemone,FlowerObjectItem;CustomObjectItem;ObjectItem;PlaceableItem;Item;
Swamp Stone Brick Floor,TileItem;PlaceableItem;Item;
Bamboo Chest,ObjectItem;PlaceableItem;Item;
Space Helmet,SpaceHelmetArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Palm Bed,ObjectItem;PlaceableItem;Item;
Single Slime Rock,ObjectItem;PlaceableItem;Item;
Pine Dresser,ObjectItem;PlaceableItem;Item;
Cave Spider Gland,MultiTextureMatItem;MatItem;Item;
Wall Window (Bamboo Wall),ObjectItem;PlaceableItem;Item;
Straw Tile,TileItem;PlaceableItem;Item;
Locked Granite Door,ObjectItem;PlaceableItem;Item;
Sandstone Iron Ore,ObjectItem;PlaceableItem;Item;
Dungeon Arrow Trap,ObjectItem;PlaceableItem;Item;
Snow Pile 3,ObjectItem;PlaceableItem;Item;
Miners Prosthetic,SimpleTrinketItem;TrinketItem;Item;
Stone Fence,ObjectItem;PlaceableItem;Item;
Birch Chair,ObjectItem;PlaceableItem;Item;
Leaf Pile,ObjectItem;PlaceableItem;Item;
Void Missile,VoidMissileProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Refractor,RefractorProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Night Swarm Spawn Item,MobSpawnItem;PlaceableItem;Item;
NOT_OBTAINABLE: Golden Caustic Executioner,GoldenCausticExecutionerToolItem;CausticExecutionerToolItem;SwordToolItem;ToolItem;Item;
Happy Poster,ObjectItem;PlaceableItem;Item;
Birch Chest,ObjectItem;PlaceableItem;Item;
Slime Surge Vinyl,VinylItem;Item;
Forgotten Blade,ObjectItem;PlaceableItem;Item;
Polar Bear Spawn Item,MobSpawnItem;PlaceableItem;Item;
Single Sandstone,ObjectItem;PlaceableItem;Item;
item.ancestorwand,AncestorWandToolItem;SwordToolItem;ToolItem;Item;
Demonic Pickaxe,CustomPickaxeToolItem;PickaxeToolItem;ToolDamageItem;ToolItem;Item;
Dungeon Chair,ObjectItem;PlaceableItem;Item;
Water,TileItem;PlaceableItem;Item;
walkingstick,WalkingStickHoldItem;Item;
Deep Swamp Stone Caveling Spawn Item,MobSpawnItem;PlaceableItem;Item;
Caveglow,FlowerObjectItem;CustomObjectItem;ObjectItem;PlaceableItem;Item;
Widow Helmet,WidowHelmetArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Deadwood Toilet,ObjectItem;PlaceableItem;Item;
Spider Empress Spawn Item,MobSpawnItem;PlaceableItem;Item;
Lantern,TorchObjectItem;ObjectItem;PlaceableItem;Item;
Broken Herb Glass Display,ObjectItem;PlaceableItem;Item;
Deep Sandstone Rock Life Quartz,ObjectItem;PlaceableItem;Item;
Deadwood Dinner Table,ObjectItem;PlaceableItem;Item;
Dynamite Stick,DynamiteStickToolItem;SettlerIgnoredThrowToolItem;ThrowToolItem;ProjectileToolItem;ToolItem;Item;
Pet Rock,PetFollowerPlaceableItem;FollowerSummonPlaceableItem;PlaceableItem;Item;
Pine Chest,ObjectItem;PlaceableItem;Item;
Second Wind Charm,SimpleTrinketItem;TrinketItem;Item;
Iron Bar,MatItem;Item;
God Bait,BaitItem;Item;
Accuracy Potion,AccuracyPotionItem;SimplePotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Magic Sand,MagicSandQuestItem;QuestItem;Item;
Vampiric Banner,ObjectItem;PlaceableItem;Item;
Miner Spawn Item,MobSpawnItem;PlaceableItem;Item;
Basalt Coffin,ObjectItem;PlaceableItem;Item;
NOT_OBTAINABLE: Flameling Orb,FlamelingOrbProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Hula Hat,HulaHatArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Frost Bullet,FrostBulletItem;BulletItem;Item;
Pine Tree,ObjectItem;PlaceableItem;Item;
Crypt Fence Gate,ObjectItem;PlaceableItem;Item;
Tungsten Bow,TungstenBowProjectileToolItem;BowProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Rainy Day Painting,ObjectItem;PlaceableItem;Item;
Bloodstone Ring,SimpleTrinketItem;TrinketItem;Item;
Sugar Beet,FoodMatItem;MatItem;Item;
Away Vinyl,VinylItem;Item;
Large Mossy Stepping Stone,ObjectItem;PlaceableItem;Item;
Greater Building Potion,GreaterBuildingPotionItem;SimplePotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Dryad Bow,DryadBowProjectileToolItem;BowProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Basalt Arrow Trap,ObjectItem;PlaceableItem;Item;
Banner of Speed,BannerItem;Item;
Deep Stone Saw Trap,ObjectItem;PlaceableItem;Item;
Willow Chest,ObjectItem;PlaceableItem;Item;
Swamp Slime Spawn Item,MobSpawnItem;PlaceableItem;Item;
Hoverboard,HoverBoardMountItem;MountItem;Item;
Aged Champion Scabbard,SimpleTrinketItem;TrinketItem;Item;
Forest Spector Spawn Item,MobSpawnItem;PlaceableItem;Item;
Palm Clock,ObjectItem;PlaceableItem;Item;
Feral Tail,FeralTailQuestItem;QuestItem;Item;
Deadwood Sapling,ObjectItem;PlaceableItem;Item;
Amethyst Staff,AmethystStaffProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Deep Snow Stone,StonePlaceableItem;PlaceableItem;Item;
Countdown Relay,LogicGateItem;PlaceableItem;Item;
Ancient Fossil Shovel,CustomShovelToolItem;ShovelToolItem;ToolDamageItem;ToolItem;Item;
Ninjas Mark,SimpleTrinketItem;TrinketItem;Item;
Runebound Boots,RuneboundBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Crafting Guide,CraftingGuideBookItem;Item;
Gold Crown,GoldCrownArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Bone Toilet,ObjectItem;PlaceableItem;Item;
Banner of Defense,BannerItem;Item;
Fire Arrow,FireArrowItem;ArrowItem;Item;
Sand Spirit Spawn Item,MobSpawnItem;PlaceableItem;Item;
Butcher's Cleaver,ButchersCleaverBoomerangToolItem;BoomerangToolItem;ThrowToolItem;ProjectileToolItem;ToolItem;Item;
Deep Sand Stone Caveling Spawn Item,MobSpawnItem;PlaceableItem;Item;
Snow Rock Copper Ore,ObjectItem;PlaceableItem;Item;
Deep Snow Stone Column,ObjectItem;PlaceableItem;Item;
Large Abstract Painting,ObjectItem;PlaceableItem;Item;
Demon Heart,DemonHeartItem;HealthUpgradeItem;ConsumableItem;PlaceableItem;Item;
Bamboo Cabinet,ObjectItem;PlaceableItem;Item;
Smithing Shoes,SmithingShoesArmorItem;BootsArmorItem;ArmorItem;Item;
Spruce Dinner Table,ObjectItem;PlaceableItem;Item;
Birch Modular Table,ObjectItem;PlaceableItem;Item;
Health Potion,HealthPotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Single Deep Rock,ObjectItem;PlaceableItem;Item;
Alien Mask,AlienMaskArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Wood Pressure Plate,ObjectItem;PlaceableItem;Item;
Banner of Peace,ObjectItem;PlaceableItem;Item;
Vulture Mask,VultureMaskArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Deep Sandstone Rock Copper Ore,ObjectItem;PlaceableItem;Item;
Crypt Column,ObjectItem;PlaceableItem;Item;
Green Scales Carpet,ObjectItem;PlaceableItem;Item;
Coin Pouch,CoinPouch;Item;
Stone Floor,TileItem;PlaceableItem;Item;
Spider Castle Candelabra,TorchObjectItem;ObjectItem;PlaceableItem;Item;
Cheat Shoes,CheatShoesArmorItem;ShoesArmorItem;BootsArmorItem;ArmorItem;Item;
Tungsten Helmet,TungstenHelmetArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Palm Bookshelf,ObjectItem;PlaceableItem;Item;
Single Swamp Rock,ObjectItem;PlaceableItem;Item;
Dryad Banner,ObjectItem;PlaceableItem;Item;
Arachnid Web Bow,ArachnidWebBowToolItem;BowProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Granite Rock,TileItem;PlaceableItem;Item;
Shipping Chest,ObjectItem;PlaceableItem;Item;
Spirit Water,TileItem;PlaceableItem;Item;
Spruce Chair,ObjectItem;PlaceableItem;Item;
Bone Spike Wall,ObjectItem;PlaceableItem;Item;
Maple Dinner Table,ObjectItem;PlaceableItem;Item;
Chroma Key Tile - 0xff00ffff,TileItem;PlaceableItem;Item;
Spilled Goblet,ObjectItem;PlaceableItem;Item;
Cabbage Seeds,SeedObjectItem;CustomObjectItem;ObjectItem;PlaceableItem;Item;
Basalt Rock Iron Ore,ObjectItem;PlaceableItem;Item;
Deep Ice,TileItem;PlaceableItem;Item;
Obsidian Door,ObjectItem;PlaceableItem;Item;
Fresh Potato Salad,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Dirt,TileItem;PlaceableItem;Item;
Maple Toilet,ObjectItem;PlaceableItem;Item;
Rock,TileItem;PlaceableItem;Item;
Slime Rock,TileItem;PlaceableItem;Item;
Dagger Painting,ObjectItem;PlaceableItem;Item;
Candy Apple,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Scrying Cards,SimpleTrinketItem;TrinketItem;Item;
Sand Stone Caveling Spawn Item,MobSpawnItem;PlaceableItem;Item;
Wood Boat,WoodBoatMountItem;MountItem;Item;
Egg Nest,ObjectItem;PlaceableItem;Item;
Battle Chef's Chestplate,BattleChefChestplateArmorItem;ChestArmorItem;ArmorItem;Item;
Ice Door,ObjectItem;PlaceableItem;Item;
Spider Egg,ObjectItem;PlaceableItem;Item;
Bamboo Dinner Table,ObjectItem;PlaceableItem;Item;
Nightmare Talisman,SimpleTrinketItem;TrinketItem;Item;
Snow Stone Door,ObjectItem;PlaceableItem;Item;
Cactus Tree,ObjectItem;PlaceableItem;Item;
Wood Fence Gate,ObjectItem;PlaceableItem;Item;
Greater Accuracy Potion,GreaterAccuracyPotionItem;SimplePotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Basalt Floor,TileItem;PlaceableItem;Item;
Tungsten Axe,CustomAxeToolItem;AxeToolItem;ToolDamageItem;ToolItem;Item;
Thief's Boots,ThiefsBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Wall Window (Deep Sandstone Wall),ObjectItem;PlaceableItem;Item;
Gold Helmet,GoldHelmetArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Palm Bathtub,ObjectItem;PlaceableItem;Item;
Murky Mire Vinyl,VinylItem;Item;
Vultures Talon,VulturesTalonToolItem;SpearToolItem;ToolItem;Item;
Blue and Yellow Books,ObjectItem;PlaceableItem;Item;
Beet Glass Display,ObjectItem;PlaceableItem;Item;
Kandiru Vinyl,VinylItem;Item;
Potion Pouch,PotionPouch;PouchItem;Item;
Sand Ray,SandRayQuestItem;QuestFishItem;QuestItem;Item;
Small Single Snow Rock,ObjectItem;PlaceableItem;Item;
Deep Spirit Swab,DeepSpiritSwabQuestItem;QuestItem;Item;
Carapace Dagger,CarapaceDaggerToolItem;ThrowToolItem;ProjectileToolItem;ToolItem;Item;
Grizzly Bear Spawn Item,MobSpawnItem;PlaceableItem;Item;
Deep Snow Stone Brick Floor,TileItem;PlaceableItem;Item;
Pine Modular Table,ObjectItem;PlaceableItem;Item;
Potato Seeds,SeedObjectItem;CustomObjectItem;ObjectItem;PlaceableItem;Item;
Upgrade Station,ObjectItem;PlaceableItem;Item;
Plains Grass Seeds,GrassSeedItem;PlaceableItem;Item;
Palm Door,ObjectItem;PlaceableItem;Item;
Cave Birch Sapling,ObjectItem;PlaceableItem;Item;
Void Flask and Test Tube,ObjectItem;PlaceableItem;Item;
Ivy Axe,CustomAxeToolItem;AxeToolItem;ToolDamageItem;ToolItem;Item;
Pirate Recruit Spawn Item,MobSpawnItem;PlaceableItem;Item;
Iron Greatsword,IronGreatswordToolItem;GreatswordToolItem;SwordToolItem;ToolItem;Item;
Honey,FoodMatItem;MatItem;Item;
Rogue Hunter Spawn Item,MobSpawnItem;PlaceableItem;Item;
Crypt Bat Spawn Item,MobSpawnItem;PlaceableItem;Item;
Primordial Essence,EssenceMatItem;MatItem;Item;
Swamp Stone Door,ObjectItem;PlaceableItem;Item;
Iron Bow,IronBowProjectileToolItem;BowProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Storming the Hamlet Part 1 Vinyl,VinylItem;Item;
TellTale Vinyl,VinylItem;Item;
Green and Pink Books,ObjectItem;PlaceableItem;Item;
Amber,MatItem;Item;
Quicksand,TileItem;PlaceableItem;Item;
Runestone,MatItem;Item;
Miner Hat,MinerHatArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Green Wrapping Paper,WrappingPaperItem;Item;
Ancient Armored Skeleton Spawn Item,MobSpawnItem;PlaceableItem;Item;
Arcanic Wall Lamp,ObjectItem;PlaceableItem;Item;
Basalt Rock Life Quartz,ObjectItem;PlaceableItem;Item;
Hula Skirt,HulaShirtArmorItem;ChestArmorItem;ArmorItem;Item;
Deep Swamp Stone Floor,TileItem;PlaceableItem;Item;
Sandworm Spawn Item,MobSpawnItem;PlaceableItem;Item;
Red Books,ObjectItem;PlaceableItem;Item;
farmerpitchfork,FarmerPitchForkHoldItem;Item;
Eye Patch,EyePatchQuestItem;QuestItem;Item;
Maple Chest,ObjectItem;PlaceableItem;Item;
Lemon Tree,ObjectItem;PlaceableItem;Item;
Runebound Boat,RuneboundBoatMountItem;MountItem;Item;
Sprinkler,SprinklerProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Spruce Log Bench,ObjectItem;PlaceableItem;Item;
Swamp Rock Copper Ore,ObjectItem;PlaceableItem;Item;
Clockwork Heart,SimpleTrinketItem;TrinketItem;Item;
Locked Deep Swamp Stone Door,ObjectItem;PlaceableItem;Item;
Wood Shield,WoodShieldTrinketItem;ShieldTrinketItem;TrinketItem;Item;
Single Rock,ObjectItem;PlaceableItem;Item;
Aged Champion Sword,AgedChampionSwordToolItem;SwordToolItem;ToolItem;Item;
Mummy Spawn Item,MobSpawnItem;PlaceableItem;Item;
Small Single Sandstone,ObjectItem;PlaceableItem;Item;
Soldier's Chestplate,SoldierChestplateArmorItem;ChestArmorItem;ArmorItem;Item;
Arcane Armory,ItemSetsIncreaseItem;ChangeItemSetsItem;ConsumableItem;PlaceableItem;Item;
Slimeum,MatItem;Item;
Dirty Dishes,ObjectItem;PlaceableItem;Item;
Red Present,PresentItem;Item;
Snow Hood,SnowHoodArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Void Hat,VoidHatArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Fallen Landscaping Station,ObjectItem;PlaceableItem;Item;
Basalt Rock Gold Ore,ObjectItem;PlaceableItem;Item;
Beet Seeds,SeedObjectItem;CustomObjectItem;ObjectItem;PlaceableItem;Item;
Captor's Shortbow,CaptorsShortbowProjectileToolItem;BowProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Dawn Boots,DawnBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Mushroom Flower,FlowerObjectItem;CustomObjectItem;ObjectItem;PlaceableItem;Item;
Spider Boomerang,SpiderBoomerangToolItem;BoomerangToolItem;ThrowToolItem;ProjectileToolItem;ToolItem;Item;
Mage Hat,MageHatArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Emerald Cluster,ObjectItem;PlaceableItem;Item;
Dryad Chair,ObjectItem;PlaceableItem;Item;
Deep Cave Spirit Spawn Item,MobSpawnItem;PlaceableItem;Item;
Ancient Ruin Floor,TileItem;PlaceableItem;Item;
Alien Costume Shirt,AlienCostumeShirtArmorItem;ChestArmorItem;ArmorItem;Item;
Oak Chest,ObjectItem;PlaceableItem;Item;
Sapphire Staff,SapphireStaffProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Quartz Crown,QuartzCrownArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Mage Spawn Item,MobSpawnItem;PlaceableItem;Item;
Carrot Seeds,SeedObjectItem;CustomObjectItem;ObjectItem;PlaceableItem;Item;
Small Single Swamp Rock,ObjectItem;PlaceableItem;Item;
Multi Tool,MultiToolItem;ToolDamageItem;ToolItem;Item;
Arachnid Legs,ArachnidLegsArmorItem;BootsArmorItem;ArmorItem;Item;
Slime Helmet,SlimeHelmetArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Large Dryad Banner,ObjectItem;PlaceableItem;Item;
Locked Brick Door,ObjectItem;PlaceableItem;Item;
Bone Cabinet,ObjectItem;PlaceableItem;Item;
Locked Deep Sandstone Door,ObjectItem;PlaceableItem;Item;
Spider Castle Floor,TileItem;PlaceableItem;Item;
Small Topaz Cluster,ObjectItem;PlaceableItem;Item;
Maple Bench,ObjectItem;PlaceableItem;Item;
Lifeline,SimpleTrinketItem;TrinketItem;Item;
Training Dummy,ObjectItem;PlaceableItem;Item;
Raven Nest,ObjectItem;PlaceableItem;Item;
Spruce Dresser,ObjectItem;PlaceableItem;Item;
Locked Swamp Stone Door,ObjectItem;PlaceableItem;Item;
Broken Plate,ObjectItem;PlaceableItem;Item;
Wind Boots,WindBootsTrinketItem;TrinketItem;Item;
Snow Cloak,SnowCloakArmorItem;ChestArmorItem;ArmorItem;Item;
Wood Spear,WoodSpearToolItem;SpearToolItem;ToolItem;Item;
Wood Fence,ObjectItem;PlaceableItem;Item;
Willow Dresser,ObjectItem;PlaceableItem;Item;
Landscaping Station,ObjectItem;PlaceableItem;Item;
Swamp Candle Stand Duo,TorchObjectItem;ObjectItem;PlaceableItem;Item;
Runebound Backbones,RuneboundBackBonesArmorItem;ChestArmorItem;ArmorItem;Item;
Worm Bait,BaitItem;Item;
Canary Spawn Item,MobSpawnItem;PlaceableItem;Item;
Granite Column,ObjectItem;PlaceableItem;Item;
Shadow Gate,ReaperSpawnItem;ConsumableItem;PlaceableItem;Item;
Oak Toilet,ObjectItem;PlaceableItem;Item;
Bamboo Tree,ObjectItem;PlaceableItem;Item;
Greater Resistance Potion,GreaterResistancePotionItem;SimplePotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Granite Rock Copper Ore,ObjectItem;PlaceableItem;Item;
Strike Banner,StrikeBannerItem;Item;
Snow Stone Floor,TileItem;PlaceableItem;Item;
Ascended Pylon,ObjectItem;PlaceableItem;Item;
Necrotic Bow,NecroticBowProjectileToolItem;BowProjectileToolItem;ProjectileToolItem;ToolItem;Item;
NOT_OBTAINABLE: Charge Shower,ChargeShowerProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Siege Vinyl,VinylItem;Item;
Nightsteel Veil,NightsteelVeilArmorItem;SetHelmetArmorItem;HelmetArmorItem;ArmorItem;Item;
Vambrace,SimpleTrinketItem;TrinketItem;Item;
Cheesy Beet Bowl,FoodConsumableItem;ConsumableItem;PlaceableItem;Item;
Apiary,ObjectItem;PlaceableItem;Item;
Maple Cabinet,ObjectItem;PlaceableItem;Item;
Aged Champion Shield,ShieldTrinketItem;TrinketItem;Item;
Fallen Wizard Spawn Item,MobSpawnItem;PlaceableItem;Item;
Trial Entrance,ObjectItem;PlaceableItem;Item;
Venom Shower,VenomShowerProjectileToolItem;MagicProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Pumpkin Seeds,SeedObjectItem;CustomObjectItem;ObjectItem;PlaceableItem;Item;
Glass,MatItem;Item;
Birch Tree,ObjectItem;PlaceableItem;Item;
Willow Dinner Table,ObjectItem;PlaceableItem;Item;
Deep Snow Rock Gold Ore,ObjectItem;PlaceableItem;Item;
Air,ObjectItem;PlaceableItem;Item;
Glass Bottle,MatItem;Item;
Greater Mana Regen Potion,GreaterManaRegenPotionItem;SimplePotionItem;PotionConsumableItem;ConsumableItem;PlaceableItem;Item;
Suspiciously Tall Goblin Spawn Item,MobSpawnItem;PlaceableItem;Item;
Giant Cave Spider Spawn Item,MobSpawnItem;PlaceableItem;Item;
Snow Rock,TileItem;PlaceableItem;Item;
Sandstone Gold Ore,ObjectItem;PlaceableItem;Item;
Wool,MatItem;Item;
Sapphire Revolver,SapphireRevolverProjectileToolItem;GunProjectileToolItem;ProjectileToolItem;ToolItem;Item;
Arcanic Crate,ObjectItem;PlaceableItem;Item;
Widow Boots,WidowBootsArmorItem;BootsArmorItem;ArmorItem;Item;
Kinetic Boots,KineticBootsTrinketItem;TrinketItem;Item;
Dryad Wall,ObjectItem;PlaceableItem;Item;
Bloodplate Chestplate,BloodplateChestplateArmorItem;ChestArmorItem;ArmorItem;Item;
Ancient Ruin Wall,ObjectItem;PlaceableItem;Item;
Palm Double Bed,ObjectItem;PlaceableItem;Item;
Oasis Serenade Vinyl,VinylItem;Item;
Moonlight Dancer Spawn Item,MobSpawnItem;PlaceableItem;Item;
Demonic Boots,DemonicBootsArmorItem;BootsArmorItem;ArmorItem;Item;
